{295.82351376529397, 1}	{442.8834336369929, 1}
{253.2928795509696, 2}	{630.1689189550752, 2}
{253.3058097568018, 3}	{631.0269998505345, 3}
{254.10381311685893, 4}	{612.2297191983799, 4}
{253.2928795645396, 5}	{630.1689187896461, 5}
{253.2931986440668, 6}	{630.1773238474018, 6}
{253.29316350456145, 7}	{630.2009217421398, 7}
{253.46145423861316, 8}	{626.6673598421949, 8}
{253.29306911034845, 9}	{630.1675506604466, 9}
{296.78891210472943, 10}	{438.42917221475983, 10}
{253.2938269758273, 11}	{630.1867408084054, 11}
{253.63601940065448, 12}	{627.7224847828168, 12}
{253.29410823654274, 13}	{629.090667160411, 13}
{253.29287955187712, 14}	{630.1689187459344, 14}
{295.08678972355636, 15}	{448.600229032898, 15}
